AAV,start,end,Sample,guppy_01,guppy_02,nanopolish_01,nanopolish_02,megalodon_01,megalodon_02,tombo_01,tombo_02,deepsignal_01,deepsignal_02,annotation
CMV,1877,1878,liver,50,100,0,NA,0,NA,0,NA,0,NA,NA
CMV,1898,1899,liver,50,0,0,NA,0,NA,0,NA,0,NA,NA
CMV,1903,1904,liver,50,0,0,NA,0,NA,0,NA,0,NA,NA
CMV,1915,1916,liver,50,0,0,NA,0,NA,0,NA,0,NA,NA
CMV,1923,1924,liver,50,50,0,NA,0,NA,NA,NA,0,NA,NA
CMV,1957,1958,liver,50,0,0,NA,0,NA,NA,NA,0,NA,NA
CMV,2002,2003,liver,4.545454545454549,4.05405405405405,0,0,2.4,1.1,0,0,0,0,ITR2_left
CMV,2004,2005,liver,4.347826086956521,7.954545454545451,0,0,2.4,7.75,0,15.379999999999999,0,1.25,ITR2_left
CMV,2008,2009,liver,4.347826086956521,5,0,0,0,0,9.09,7.6899999999999995,0,1.2,ITR2_left
CMV,2012,2013,liver,2.38095238095238,3.84615384615385,0,0,0,4.3,7.140000000000001,3.45,7.1499999999999995,0,ITR2_left
CMV,2025,2026,liver,2,2.4702380952381,9.920634920634921,11.554621848739501,2.5,1.8,44.440000000000005,37.5,6.25,0.8999999999999999,ITR2_left
CMV,2029,2030,liver,10.545454545454499,8.496732026143789,9.920634920634921,11.554621848739501,8.9,6.8,100,83.33,0,0.8999999999999999,ITR2_left
CMV,2040,2041,liver,10.4166666666667,10.2108036890646,16.3636363636364,21.3053263315829,9.95,4.2,71.43,91.67,1.9,0,ITR2_left
CMV,2044,2045,liver,8.52272727272727,13.469387755102,16.3636363636364,21.3053263315829,5.05,5.2,20,29.03,3.85,3.45,ITR2_left
CMV,2047,2048,liver,16.5064102564103,8.958566629339309,16.3636363636364,21.3053263315829,11.05,6.05,35.709999999999994,48,3.85,3.35,ITR2_left
CMV,2051,2052,liver,2.5,9.27002583979328,16.3636363636364,21.3053263315829,5.55,2.5,53.849999999999994,46.150000000000006,5.75,4.2,ITR2_left
CMV,2062,2063,liver,10.620689655172399,4.08695652173913,2.5,7.638888888888889,7.5,3.75,66.67,52.17,10.85,8.200000000000001,ITR2_left
CMV,2066,2067,liver,8.57245337159254,6.26582278481013,2.5,7.638888888888889,10,2.25,100,100,22,12.950000000000001,ITR2_left
CMV,2079,2080,liver,5.18707482993197,4.00396151669496,5.35714285714286,5.84707646176912,1.3,2.45,18.75,21.95,0,2.6,ITR2_left
CMV,2083,2084,liver,5.95238095238095,3.7461300309597503,5.35714285714286,5.84707646176912,0,0.55,16.669999999999998,15.379999999999999,0,0,ITR2_left
CMV,2087,2088,liver,7.386363636363639,4.33354192740926,5.35714285714286,5.84707646176912,7.5,6.45,5.88,5.41,0.8500000000000001,0,ITR2_left
CMV,2089,2090,liver,0.862068965517241,8.83367399080225,5.35714285714286,5.84707646176912,3.35,4.65,7.6899999999999995,7.41,0,0,ITR2_left
CMV,2147,2148,liver,5.68708183221822,6.8036036036036,15.6944444444444,12.3254401942927,4,5.6,33.33,4.35,9.700000000000001,18.65,NA
CMV,2165,2166,liver,9.838709677419349,3.29994863893169,10.507246376811601,7.459677419354841,4.2,4.25,7.89,21.62,5.65,10.2,NA
CMV,2190,2191,liver,8.29710144927536,6.588628762541809,26.2962962962963,16.4075286415712,1.2,0.45,40,28.57,20.95,12.45,NA
CMV,2230,2231,liver,2.41698501322363,2.83511326085915,1.21951219512195,0,3,3.15,2.94,3.45,2.25,4.7,CMV_church
CMV,2265,2266,liver,6.547619047619049,11.4128388554217,5.25846702317291,2.60909368324687,4.9,7.3,9.09,0,4.8,6.25,CMV_church
CMV,2267,2268,liver,15.124843945068701,15.9533234372423,5.25846702317291,2.60909368324687,2.75,1.9,23.080000000000002,8.89,4.8,4.8,CMV_church
CMV,2281,2282,liver,5.87056128293242,4.05362144857943,21.5151515151515,20.3046953046953,5.5,3.4,100,50,7.6,7.95,CMV_church
CMV,2293,2294,liver,5.23255813953488,10.6439843882573,7.00757575757576,8.55689858490566,2.7,2,88.89,94.12,12.5,7.5,CMV_church
CMV,2305,2306,liver,4.04487568223166,3.1657591490439403,6.35764944275582,3.1943105110896797,2.15,0.65,32.5,33.82,5.1499999999999995,3.35,CMV_church
CMV,2312,2313,liver,8.85485287659201,6.7443545465523504,6.35764944275582,3.1943105110896797,1.6,1.95,48.15,45.45,0.44999999999999996,0.5499999999999999,CMV_church
CMV,2319,2320,liver,10.158188585607899,10.1205838798392,6.35764944275582,3.1943105110896797,0,1.6,7.32,12.280000000000001,5.4,4.55,CMV_church
CMV,2329,2330,liver,4.36698717948718,6.10524217659956,6.35764944275582,3.1943105110896797,2.05,0,24.39,25,4.35,6.6000000000000005,CMV_church
CMV,2341,2342,liver,2.45721149034131,3.2463615111982502,4.7439353099730495,8.83458646616541,4.25,5.65,4.05,5.47,6.950000000000001,4.2,CMV_church
CMV,2359,2360,liver,9.81492718446602,6.5800772863890105,4.70588235294118,3.11404906021026,3.15,2.15,20.830000000000002,22.73,2.75,7.9,CMV_church
CMV,2382,2383,liver,5.19986005422899,5.0379395885013905,17.3015873015873,17.8947368421053,1.95,1.6,20.369999999999997,19.77,3.25,6.15,CMV_church
CMV,2403,2404,liver,11.3725490196078,12.2126996493962,15.7894736842105,12.1848739495798,12.9,6.4,41.18,42.86,22.3,18.45,CMV_church
CMV,2452,2453,liver,2.06185567010309,3.22814128546613,4.25531914893617,5.78551882899709,1.45,2.1,57.78,45.33,3.6999999999999997,1.95,CMV_church
CMV,2465,2466,liver,5.12247600132406,6.30092946269417,9.68599033816425,6.825557809330631,4.25,3.05,35.089999999999996,24.27,5.800000000000001,4.3999999999999995,CMV_church
CMV,2474,2475,liver,3.94736842105263,5.69486543584091,9.68599033816425,6.825557809330631,1.9,1.45,3.26,3.25,8.9,10.6,CMV_church
CMV,2486,2487,liver,7.526881720430111,4.72680715595695,4.9119373776907995,2.51439037153323,2.1,2.7,9.09,15.790000000000001,7.199999999999999,3.75,CMV_church
CMV,2546,2547,liver,4.35508935508936,3.12915931006383,2.0323859881031097,0.6391407334803559,1.5,2.3,0,1.29,3.95,4.6,CMV_church
CMV,2558,2559,liver,11.7867867867868,10.054565880276,3.5042735042735003,4.59236326109391,0.45,0.45,12.82,18,25.95,29.5,CMV_church
CMV,2577,2578,liver,4.836415362731151,3.05649187723344,2.8605015673981202,2.57056451612903,2.3,2.55,0,0,8.05,6.800000000000001,CMV_church
CMV,2601,2602,liver,7.405809605982169,7.62928827444956,10.7238872846759,8.942845723421259,2,1,23.080000000000002,27,6.6000000000000005,4.3999999999999995,CMV_church
CMV,2610,2611,liver,10.7556935817805,10.4273008938323,10.7238872846759,8.942845723421259,2.75,4.85,45,10.81,17.9,19.05,CMV_church
CMV,2622,2623,liver,7.289055973266501,11.1344348140123,12.522045855379199,10.6410256410256,2.95,4.85,10.530000000000001,9.379999999999999,9.700000000000001,11.450000000000001,CMV_church
CMV,2651,2652,liver,5.200501253132829,3.48847231200172,12.3055555555556,9.20634920634921,2,1.9,18.57,20.93,5.5,2.25,CMV_church
CMV,2685,2686,liver,8.9354200173203,8.757649938800489,14.7222222222222,24.540816326530603,3.3,2.85,37.5,63.63999999999999,7.000000000000001,6.1,CMV_church
CMV,2703,2704,liver,10.0782268578879,11.447505197505201,7.44766505636071,6.58161970043158,19.35,17.7,15.479999999999999,8.05,21.099999999999998,21.9,CMV_church
CMV,2714,2715,liver,11.794102948525701,11.202050264550302,4.85436893203883,3.2999277717587603,5.2,3.9,11.76,18.18,11.200000000000001,9.950000000000001,CMV_church
CMV,2725,2726,liver,7.011594202898549,5.03354403381549,4.8148148148148096,6.10043067086978,6.5,5.5,47.54,51.349999999999994,9.5,10.7,CMV_church
CMV,2735,2736,liver,3.1690140845070403,6.121926229508199,4.8148148148148096,6.10043067086978,1.1,0.85,3.1199999999999997,7.380000000000001,5.5,5.65,CMV_church
CMV,2742,2743,liver,8.690365910143589,6.08086908777159,4.8148148148148096,6.10043067086978,3.45,2.2,3.95,7.6899999999999995,9.5,8.6,CMV_church
CMV,2748,2749,liver,15.577777777777799,12.713580792458401,4.8148148148148096,6.10043067086978,8.6,6.1,45.12,53.059999999999995,17.599999999999998,18.6,CMV_church
CMV,2775,2776,liver,4.38863521055302,3.20119802677942,4.01785714285714,7.56124115405552,1.75,2,19.79,17.02,1.4000000000000001,2.1999999999999997,CMV_church
CMV,2787,2788,liver,4.49346405228758,5.29518723585493,5.21872959611977,3.1948416240141304,2.9,1.7,65.79,74.14,5.5,6.1,CMV_church
CMV,2795,2796,liver,2.08855053591105,2.7530636226288396,5.21872959611977,3.1948416240141304,0.7,0.85,10.42,10.93,0.95,0.6,CMV_church
CMV,2797,2798,liver,3.8295421825511102,2.8693804480583602,5.21872959611977,3.1948416240141304,1.1,1.4,14.29,13.91,0.65,0.75,NA
CMV,2801,2802,liver,3.3667730658154698,4.82922031473534,5.21872959611977,3.1948416240141304,0.7,0.2,58.540000000000006,60.31999999999999,0,0.2,NA
CMV,2806,2807,liver,2.91970802919708,3.32479788707444,5.21872959611977,3.1948416240141304,0,0.6,74,62.69,0.35000000000000003,0.6,NA
CMV,2810,2811,liver,5.14767310432945,6.19166398455101,5.21872959611977,3.1948416240141304,0.7,0.85,26.14,14.01,4.25,6.15,NA
CMV,2831,2832,liver,3.64158636026686,2.92231277426822,3.94518960092731,3.61345275728837,2.45,0.55,8.08,4.09,3.85,2.45,eYFP
CMV,2846,2847,liver,9.31490102036018,12.0877235971576,7.309136420525659,3.77158125513839,4.2,2.15,29.73,17.76,16.85,14.899999999999999,eYFP
CMV,2867,2868,liver,3.9395505037458,2.01803482587065,3.49206349206349,2.26906158357771,0.95,1.35,24,25.19,2.1999999999999997,0.95,eYFP
CMV,2876,2877,liver,4.914995640802091,5.03822381262199,3.49206349206349,2.26906158357771,0.65,1.4,3.3099999999999996,1.9,0.6,0.95,eYFP
CMV,2879,2880,liver,5.6072186836518,4.89997255344454,3.49206349206349,2.26906158357771,1.3,1.4,2,2.76,1.25,1.7000000000000002,eYFP
CMV,2882,2883,liver,4.644165358451071,3.20251081723444,3.49206349206349,2.26906158357771,0.65,1.9,18.37,17.919999999999998,1.25,1.0999999999999999,eYFP
CMV,2888,2889,liver,5.061252268602541,2.7612854584864803,3.49206349206349,2.26906158357771,2.4,2.9,10.71,9.569999999999999,3.2,2.45,eYFP
CMV,2903,2904,liver,9.962045196754211,9.29245283018868,3.1814572165971797,1.3000867929987,3.4,2.2,7.02,7.35,1.95,4.95,eYFP
CMV,2909,2910,liver,17.7895397864896,19.3220654943143,3.1814572165971797,1.3000867929987,7.65,7.1,1.27,2.8000000000000003,1.6500000000000001,2.1999999999999997,eYFP
CMV,2912,2913,liver,10.0713012477718,8.98404305542442,3.1814572165971797,1.3000867929987,3.45,1.45,1.49,6.36,1.3,0.5499999999999999,eYFP
CMV,2918,2919,liver,1.59235668789809,3.58174737767728,3.1814572165971797,1.3000867929987,1.25,0.95,4.5,3.7600000000000002,0,0.2,eYFP
CMV,2924,2925,liver,2.65191429574991,2.41364960466084,3.1814572165971797,1.3000867929987,1.6,1.25,12.36,7.2700000000000005,2.6,1.5,eYFP
CMV,2936,2937,liver,6.7078471745596,6.9577598481253,34.8904639175258,33.0508474576271,6.45,2.7,1.08,1.94,12.65,13.900000000000002,eYFP
CMV,2969,2970,liver,7.26144822919016,5.89644824651767,3.60576923076923,4.99164578111947,0.7,1.85,9.28,11.360000000000001,12.85,9.950000000000001,eYFP
CMV,2981,2982,liver,9.06362545018007,11.8516908502218,4.23375074537865,4.81000481000481,4.25,5.45,100,100,7.95,4.65,eYFP
CMV,2999,3000,liver,10.0022371364653,11.1776584515122,5.35714285714286,2.87878787878788,2.85,2.95,17.54,17.130000000000003,6.6000000000000005,4.35,eYFP
CMV,3011,3012,liver,3.58587162278437,3.79336637438048,2.95438596491228,1.1667715544367498,2.6,2.4,2.08,5.19,4.45,3.2,eYFP
CMV,3017,3018,liver,5.41998231653404,2.9076923076923102,2.95438596491228,1.1667715544367498,2.25,2,0,0.48,1.6,3.35,eYFP
CMV,3032,3033,liver,4.47957499484217,2.90246309087186,2.82437412631846,1.60302343858351,1.65,0.4,17.5,19.28,5.1,3,eYFP
CMV,3036,3037,liver,9.128584229390679,11.4620259120996,2.82437412631846,1.60302343858351,3.15,2.6,9.26,0.9299999999999999,3.2,2.85,eYFP
CMV,3044,3045,liver,3.95874478823788,5.83976833976834,2.82437412631846,1.60302343858351,1.75,1,36.67,24.529999999999998,3.85,2.5,eYFP
CMV,3062,3063,liver,6.85696095076401,6.150793650793649,5.37634408602151,1.38060479666319,1.45,2.7,0,9.09,1.6,0.75,eYFP
CMV,3077,3078,liver,9.65527760829774,9.32591218305504,2.74813895781638,1.38888888888889,5.7,3.65,31.71,41.27,9.049999999999999,13.700000000000001,eYFP
CMV,3086,3087,liver,9.87762237762238,6.73551006701165,2.74813895781638,1.38888888888889,1.2,2.3,100,91.67,12.25,11.75,eYFP
CMV,3095,3096,liver,5.42988640814728,6.326398967908401,2.74813895781638,1.38888888888889,5.85,5.4,0,1.35,12.049999999999999,11.15,eYFP
CMV,3105,3106,liver,3.6295962102413695,4.19535283993115,2.74813895781638,1.38888888888889,1.65,0.6,14.000000000000002,19.64,7.5,7.3999999999999995,eYFP
CMV,3125,3126,liver,2.6127648511634,2.5865166783845,8.542188805346699,9.450186027284,0.95,1.35,9.569999999999999,10.95,1.55,3.4000000000000004,eYFP
CMV,3128,3129,liver,3.2564102564102604,4.06848908037439,8.542188805346699,9.450186027284,1.35,1,11.899999999999999,12.049999999999999,2.5,4.55,eYFP
CMV,3144,3145,liver,5.8170118829552395,5.407343660355711,1.25470085470085,0.483091787439614,0.65,0.9,2.22,5.33,1.25,0.6,eYFP
CMV,3146,3147,liver,7.71829521829522,6.10126693776884,1.25470085470085,0.483091787439614,0.95,0.4,6.0600000000000005,6.43,1.25,0.4,eYFP
CMV,3149,3150,liver,5.009468066792911,5.79616881173301,1.25470085470085,0.483091787439614,1.95,1.2,18.060000000000002,18.88,0.95,0.4,eYFP
CMV,3161,3162,liver,3.1896551724137896,2.36220472440945,1.37443070917371,1.55500479692996,0.35,1.2,10,16.54,1.55,1.55,eYFP
CMV,3167,3168,liver,5.53613053613054,6.23571247142494,1.37443070917371,1.55500479692996,0.95,0.6,4.46,3.09,3.15,2.85,eYFP
CMV,3183,3184,liver,2.67857142857143,2.23248082683256,2.65486725663717,1.7438122790099602,1.75,4.3,15.190000000000001,17.93,3.15,1.35,eYFP
CMV,3188,3189,liver,2.00742873836651,3.5364334169114997,2.65486725663717,1.7438122790099602,1,2.1,10.4,7.08,0.95,0.75,eYFP
CMV,3203,3204,liver,3.5183431465393005,3.32539573506739,2.80898876404494,3.75722543352601,1.6,1.15,10.94,12.09,2.1999999999999997,3.8,eYFP
CMV,3218,3219,liver,2.28157918031336,3.1905138339921,4.40795159896284,2.2609819121447003,2.05,1.45,21.82,14.11,4.7,4.2,eYFP
CMV,3266,3267,liver,2.5891829689298,2.3076923076923097,2.42822966507177,2.19025825433148,0.3,0.6,19.67,25.97,0.8999999999999999,5.5,eYFP
CMV,3281,3282,liver,3.5518790849673203,4.86368744323517,19.0401669274909,12.1142419014759,1.9,0.4,66.67,70.37,8.7,6.8500000000000005,eYFP
CMV,3296,3297,liver,3.125,2.35653235653236,2.93539325842697,2.3489010989011,1.35,2.3,6.1899999999999995,4.46,9.65,6.6000000000000005,eYFP
CMV,3321,3322,liver,9.83701728734841,9.2459726546636,0.746268656716418,2.2255414488424203,4.45,3.9,15.379999999999999,20.59,13.25,11.15,eYFP
CMV,3332,3333,liver,5.39317176145821,5.04086594797281,3.0255724055902498,2.0377060284488597,2.2,1.65,18.75,13.84,2.7,1.35,eYFP
CMV,3338,3339,liver,4.1179811749432,3.15907680487012,3.0255724055902498,2.0377060284488597,1.6,1.4,7.829999999999999,11.87,2.4,1.8499999999999999,eYFP
CMV,3344,3345,liver,10.526315789473701,9.178888556320459,3.0255724055902498,2.0377060284488597,1.65,0.55,40,34.48,6.4,6.3,eYFP
CMV,3353,3354,liver,4.20402178466695,7.375034563273831,3.0255724055902498,2.0377060284488597,0.3,1.9,8.49,18.54,0.6,2.9499999999999997,eYFP
CMV,3356,3357,liver,4.467437614120509,8.05728088336784,3.0255724055902498,2.0377060284488597,0.6,1.95,25.88,40.510000000000005,0.6,3.15,eYFP
CMV,3383,3384,liver,3.22899099173214,2.92110874200426,1.3250319284802,1.06079265562024,1.85,0.2,19.830000000000002,14.67,0.8999999999999999,1.05,eYFP
CMV,3386,3387,liver,5.37567621719094,4.34135064242209,1.3250319284802,1.06079265562024,0.6,0.4,6.32,9.55,0.8999999999999999,0.7000000000000001,eYFP
CMV,3389,3390,liver,5.45891185017759,5.39442231075697,1.3250319284802,1.06079265562024,0.95,1.2,13.16,18.75,0.3,1.25,eYFP
CMV,3395,3396,liver,12.0790816326531,9.56051775548929,1.3250319284802,1.06079265562024,2.3,2.65,100,100,9.35,9.2,eYFP
CMV,3407,3408,liver,9.15377402719175,11.4407502131287,1.8072289156626498,1.8939393939393898,2.5,2.85,77.78,100,13.100000000000001,13.65,eYFP
CMV,3434,3435,liver,8.27219221156172,8.392857142857139,1.1221042471042502,2.1129605688429196,3.45,4.05,81.82000000000001,81.25,7.249999999999999,5.5,eYFP
CMV,3455,3456,liver,2.5197291992148396,2.65739866700993,3.2828282828282798,1.68867247245373,2.25,1.7,8.64,7.59,1.25,1.0999999999999999,eYFP
CMV,3462,3463,liver,6.82045303131246,6.875683448926701,3.2828282828282798,1.68867247245373,2.5,2.35,16.669999999999998,19.3,7.55,5.949999999999999,eYFP
CMV,3464,3465,liver,5.63246690345496,5.16968524705469,3.2828282828282798,1.68867247245373,1.9,2.3,4.35,5.56,10.9,10.549999999999999,eYFP
CMV,3488,3489,liver,10.277627245821,6.6973566973567005,3.03665734700217,0.995024875621891,2.35,2.45,22.73,21.82,2.8000000000000003,2.8000000000000003,eYFP
CMV,3494,3495,liver,8.44897959183673,8.19682459677419,3.03665734700217,0.995024875621891,0.3,0.55,10.59,12.86,0.95,1.0999999999999999,eYFP
CMV,3497,3498,liver,5.4409963250306195,5.48364834793386,3.03665734700217,0.995024875621891,1.3,0.55,2.4,7.6899999999999995,0.65,2.65,eYFP
CMV,3500,3501,liver,14.5474409614253,10.956235011990401,3.03665734700217,0.995024875621891,1.8,1.85,13.889999999999999,20.22,0.3,2.8000000000000003,eYFP
CMV,3512,3513,liver,2.9472724258000302,1.54353408029879,4.21085792292345,2.2225644184375297,1.35,1.65,4.72,4.9799999999999995,7.199999999999999,6.950000000000001,eYFP
CMV,3521,3522,liver,2.2252680803031497,2.43580846634282,4.21085792292345,2.2225644184375297,2.85,3,20.369999999999997,18.33,3.65,3.1,eYFP
CMV,3539,3540,liver,2.55505364201016,2.04648151209566,2.44316098276494,1.11904761904762,0.6,2,15.5,20.43,3.1,3.25,NA
CMV,3546,3547,liver,6.17759020191989,6.14499732477261,2.44316098276494,1.11904761904762,7.3,5.6,13.889999999999999,14.89,1.8499999999999999,1.3,NA
CMV,3568,3569,liver,2.98116475427582,3.79846177994035,7.88812785388128,9.490106544901069,1.85,0.6,22.62,34.48,1.8499999999999999,1.9,NA
CMV,3579,3580,liver,7.991228070175441,7.75147058823529,6.08695652173913,8.3147853736089,1.8,1.35,10.43,6.88,12.25,9.4,BGHp(A)
CMV,3592,3593,liver,3.6823266219239397,3.4454773498598197,6.29890453834116,5.11692381870781,0.95,1.35,22.68,23.169999999999998,2.55,3.5999999999999996,BGHp(A)
CMV,3638,3639,liver,5.17435584549679,5.46968645511324,3.11355311355311,2.77777777777778,4.1,5.1,100,97.59,3.9,2.8000000000000003,BGHp(A)
CMV,3706,3707,liver,2.14307427297599,3.11083211271535,1.35135135135135,0.7092198581560281,1.45,2.2,17.65,19.67,6.75,7.6499999999999995,BGHp(A)
CMV,3827,3828,liver,1.0869565217391302,1.25799985934313,0.78125,2.36220472440945,1.8,1.55,12.93,13.48,3.4000000000000004,2.85,stuffer
CMV,3830,3831,liver,7.05797101449275,9.51262321821147,0.78125,2.36220472440945,1.45,2.05,29.07,27.27,2.8000000000000003,2.85,stuffer
CMV,3850,3851,liver,8.995314372888739,11.008544400366201,0.9615384615384619,0.4,4.55,2.25,34.48,18.18,9.049999999999999,11.200000000000001,stuffer
CMV,3866,3867,liver,2.13333333333333,3.48237236617446,1.36029411764706,3.14174757281553,1.05,1.95,38.04,39.489999999999995,2.15,4.7,stuffer
CMV,3889,3890,liver,10.5485893416928,6.828193832599121,0.632911392405063,0,1.55,0.7,68.89,49.02,5.55,4.95,stuffer
CMV,3899,3900,liver,10.0623501199041,12.1848739495798,0.632911392405063,0,4.45,4.05,5.56,10.45,7.95,10.100000000000001,stuffer
CMV,3907,3908,liver,12.1885449250351,15.782629791363401,0.632911392405063,0,2,3,52.17,42.22,21.2,23.25,stuffer
CMV,3917,3918,liver,5.11799112545381,5.103481163567,0.632911392405063,0,2,2.55,13.639999999999999,20.69,3.9,5.45,stuffer
CMV,3922,3923,liver,5.68115942028986,4.27536231884058,0.632911392405063,0,1.1,1.3,41.67,31.630000000000003,0.7000000000000001,1.4500000000000002,stuffer
CMV,3926,3927,liver,2.55619104956853,3.02259105578608,0.632911392405063,0,0.75,1.35,23.36,28.050000000000004,0.7000000000000001,2.25,stuffer
CMV,3944,3945,liver,5.18680445151033,4.241140145958959,1,0.657894736842105,2.4,4.2,17.24,30.19,5.949999999999999,7.5,stuffer
CMV,3958,3959,liver,9.13615446178471,6.852465547527211,0.746268656716418,2.51050420168067,1.35,1.4,3.53,4.2299999999999995,2.8000000000000003,2.85,stuffer
CMV,3965,3966,liver,9.59911361804996,6.48011100832562,0.746268656716418,2.51050420168067,2.1,2,9.86,7.8,7.249999999999999,6.2,stuffer
CMV,3981,3982,liver,17.3854880136986,20.4286701585916,5.057471264367821,2.54237288135593,13.65,8.55,NA,NA,24.15,19.15,stuffer
CMV,3993,3994,liver,6.626538838653449,6.10461128422208,0.78125,0.47169811320754695,3.25,1.95,78.57,86.67,4.25,5.35,stuffer
CMV,3999,4000,liver,6.364703371745629,8.951965065502181,0.78125,0.47169811320754695,7.15,3.35,5.66,18.18,3.5000000000000004,5.2,stuffer
CMV,4018,4019,liver,21.425446819147602,22.9854126838999,14.4984326018809,14.705882352941199,13.45,12,79.21000000000001,79.39,21,25.95,stuffer
CMV,4033,4034,liver,4.04381654381654,2.78603132680386,2.41935483870968,3.53535353535354,2.7,2.4,5.36,10.68,4.6,8.6,stuffer
CMV,4042,4043,liver,1.90990065090785,2.65907673112913,2.41935483870968,3.53535353535354,1.45,0.2,21.279999999999998,28.48,1.0999999999999999,2.65,stuffer
CMV,4045,4046,liver,2.95149800963754,3.3044733044733,2.41935483870968,3.53535353535354,1.1,0.4,41.38,53.42,1.0999999999999999,2,stuffer
CMV,4069,4070,liver,4.7032828282828305,3.46701756393386,0.746268656716418,1.3761467889908299,1.55,1.15,40,50,2.85,4.45,stuffer
CMV,4075,4076,liver,4.144794400699911,4.36602870813397,0.746268656716418,1.3761467889908299,2.95,2.75,0.97,0.6,2.9000000000000004,3.8,stuffer
CMV,4080,4081,liver,5.06440281030445,7.21599586981307,0.746268656716418,1.3761467889908299,1.1,2.05,3.51,15.620000000000001,4.75,5.5,stuffer
CMV,4096,4097,liver,13.4344827586207,11.3146836111168,16.0990712074303,6.58139534883721,3.35,1.05,50,49.28,5.55,5.800000000000001,stuffer
CMV,4113,4114,liver,7.66559829059829,4.21140609636185,1.56288156288156,0,1.75,4.6,0,12.5,7.199999999999999,6.75,stuffer
CMV,4122,4123,liver,8.26159926371068,8.78116576819407,1.56288156288156,0,6.6,2.6,34.92,46.85,4.95,7.000000000000001,stuffer
CMV,4125,4126,liver,7.71399143492167,8.61758881299762,1.56288156288156,0,2.4,1.65,51.92,57.940000000000005,3.45,5.8500000000000005,stuffer
CMV,4137,4138,liver,31.276667415225702,30.496372100826203,2.51196172248804,0.48076923076923095,13.65,15,50,62.5,10.25,12.75,stuffer
CMV,4146,4147,liver,15.6924366226692,17.9941002949852,2.51196172248804,0.48076923076923095,11.9,19.2,1.96,10.31,5.4,4.5,stuffer
CMV,4149,4150,liver,12.689816289688899,7.98245614035088,2.51196172248804,0.48076923076923095,1.7,2.65,5.48,9.42,4.95,4.95,stuffer
CMV,4161,4162,liver,1.1740986717267599,2.54313578394599,4.63565387117762,2.77777777777778,0.8,0.95,10.100000000000001,8.64,1.5,3.5000000000000004,stuffer
CMV,4206,4207,liver,4.07407407407407,6.06179971988796,0,1.5181088700932601,0.8,2.75,23.880000000000003,13.450000000000001,1.6,3.2,stuffer
